Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,DT,Original Features,,0.48844339005632753,0.021407705340931494,0.5115566099436725,3,345.8,0.0031246662139892576
0,disclosure_x_noise,2,DT,Arithmetic-based Features,,0.5174756905421279,0.02530353273262434,0.48252430945787206,3,270.6,0.009373664855957031
1,wdbc,1,DT,Original Features,,0.9124534714431523,0.018661129352732977,0.08754652855684775,30,37.0,0.009373950958251952
1,wdbc,1,DT,Arithmetic-based Features,,0.9420128681616082,0.02670984572045832,0.05798713183839177,30,22.6,11.177518463134765
2,banknote-authentication,1,DT,Original Features,,0.981548207803024,0.008670030770424832,0.018451792196976013,4,50.2,0.003123569488525391
2,banknote-authentication,1,DT,Arithmetic-based Features,,0.9926263999349662,0.005204505319885404,0.007373600065033847,4,23.8,0.015621662139892578
3,thyroid-allbp,1,DT,Original Features,,0.4289796442542467,0.027769731678092296,0.5710203557457534,26,1178.6,0.009373903274536133
3,thyroid-allbp,1,DT,Arithmetic-based Features,,0.3916318025379581,0.02068357909973218,0.6083681974620418,26,917.8,0.1499544143676758
4,yeast,1,DT,Original Features,,0.37420784016832304,0.04159305634687086,0.6257921598316769,8,823.8,0.003124856948852539
4,yeast,1,DT,Arithmetic-based Features,,0.3884390054307173,0.029242997863373324,0.6115609945692827,8,607.4,0.05623950958251953
5,jungle_chess_2pcs_endgame_lion_elephant,1,DT,Original Features,,0.883558211660918,0.12606534141696696,0.11644178833908203,58,41.8,0.012491321563720703
5,jungle_chess_2pcs_endgame_lion_elephant,1,DT,Arithmetic-based Features,,0.8818915447130642,0.09834782149143022,0.11810845528693581,58,60.6,14.663514852523804
6,jungle_chess_2pcs_endgame_elephant_elephant,1,DT,Original Features,,0.9982696732627703,0.003869128207730885,0.001730326737229726,57,9.0,0.009366035461425781
6,jungle_chess_2pcs_endgame_elephant_elephant,1,DT,Arithmetic-based Features,,0.9982767786760528,0.003853240020623273,0.0017232213239471994,57,7.4,7.1915106773376465
7,PizzaCutter1,1,DT,Original Features,,0.6397517788109733,0.0573671707847046,0.36024822118902666,37,73.4,0.006257772445678711
7,PizzaCutter1,1,DT,Arithmetic-based Features,,0.6680916193706016,0.07522220792625985,0.3319083806293984,37,46.6,34.28979520797729
8,balance-scale,2,DT,Original Features,,0.5995635516849309,0.19190103257083993,0.4004364483150691,4,166.6,0.0
8,balance-scale,2,DT,Arithmetic-based Features,,0.7430883090495536,0.2310748951441863,0.2569116909504464,4,57.0,0.01249227523803711
9,analcatdata_halloffame,2,DT,Original Features,,0.7960523862287554,0.030017405873886367,0.2039476137712446,23,94.6,0.012496852874755859
9,analcatdata_halloffame,2,DT,Arithmetic-based Features,,0.7579057009935083,0.041490566795408135,0.2420942990064917,23,70.2,1.7414285659790039
10,ada_prior,1,DT,Original Features,,0.7282206582717226,0.017276743736215724,0.27177934172827745,70,1122.2,0.028117275238037108
10,ada_prior,1,DT,Arithmetic-based Features,,0.7313674885869764,0.01751479467962703,0.2686325114130236,70,857.4,0.46172595024108887
11,kc1,1,DT,Original Features,,0.5863852585462719,0.03263585684119936,0.39239365294688533,21,417.8,0.012499189376831055
11,kc1,1,DT,Arithmetic-based Features,,0.5872719684324992,0.03463190241534246,0.39150694306065803,21,275.0,11.945039367675781
12,rmftsa_ladata,2,DT,Original Features,,0.8338700659704674,0.09805184377384928,0.16612993402953258,10,75.8,0.0062482357025146484
12,rmftsa_ladata,2,DT,Arithmetic-based Features,,0.7936571906390946,0.1327885068517555,0.20634280936090543,10,56.2,0.0624138355255127
13,autoUniv-au6-1000,1,DT,Original Features,,0.1791801348040573,0.033915361749251284,0.8208198651959426,47,595.0,0.025056838989257812
13,autoUniv-au6-1000,1,DT,Arithmetic-based Features,,0.17237213711476346,0.02613552671168456,0.8276278628852365,47,470.2,49.974545574188234
14,volcanoes-e5,1,DT,Original Features,,0.22114710156814402,0.015441652187506366,0.778852898431856,3,205.4,0.0062502861022949215
14,volcanoes-e5,1,DT,Arithmetic-based Features,,0.2649721807093502,0.03801470530012631,0.7350278192906499,3,183.0,0.018741703033447264
15,kc2,1,DT,Original Features,,0.6105200295862623,0.0728011587877156,0.3666601137029698,21,111.0,0.00937352180480957
15,kc2,1,DT,Arithmetic-based Features,,0.6575590209524165,0.12972264714612694,0.3196211223368156,21,74.6,2.5434008598327638
16,Australian,4,DT,Original Features,,0.8204234546302601,0.04740499530291234,0.17957654536973988,14,143.4,0.009372425079345704
16,Australian,4,DT,Arithmetic-based Features,,0.7997633434710061,0.03765939540495169,0.20023665652899392,14,97.0,0.09764761924743652
17,fri_c3_500_5,2,DT,Original Features,,0.8654460619137957,0.032865727967595494,0.1345539380862043,5,81.8,0.0
17,fri_c3_500_5,2,DT,Arithmetic-based Features,,0.8912117576201346,0.049568770334455045,0.1087882423798654,5,55.8,0.024984979629516603
18,space_ga,2,DT,Original Features,,0.7124714513818207,0.04598488598471554,0.28752854861817934,6,721.0,0.018745279312133788
18,space_ga,2,DT,Arithmetic-based Features,,0.7687260329522037,0.03642889866088298,0.23127396704779635,6,478.6,0.1937704563140869
19,volcanoes-e2,1,DT,Original Features,,0.22247297409762873,0.019003917858086656,0.7775270259023712,3,199.8,0.015623950958251953
19,volcanoes-e2,1,DT,Arithmetic-based Features,,0.2238855682107892,0.01640868472545309,0.7761144317892108,3,174.6,0.028118038177490236
20,fri_c1_1000_25,2,DT,Original Features,,0.8508041445148095,0.04909125732685305,0.14919585548519054,25,125.0,0.01562047004699707
20,fri_c1_1000_25,2,DT,Arithmetic-based Features,,0.8054318791053238,0.02468830836044736,0.19456812089467623,25,87.4,11.735781478881837
21,thyroid-allhypo,1,DT,Original Features,,0.4289796442542467,0.027769731678092296,0.5710203557457534,26,1178.6,0.03148088455200195
21,thyroid-allhypo,1,DT,Arithmetic-based Features,,0.3916318025379581,0.02068357909973218,0.6083681974620418,26,917.8,0.305861234664917
22,steel-plates-fault,3,DT,Original Features,,0.5632891779542002,0.10221876727349967,0.4367108220457998,27,498.6,0.028116703033447266
22,steel-plates-fault,3,DT,Arithmetic-based Features,,0.5227302660869054,0.1264856234198302,0.4772697339130946,27,366.2,22.663624143600465
23,jungle_chess_2pcs_endgame_panther_elephant,1,DT,Original Features,,0.8754310464064131,0.154977508862958,0.12456895359358688,58,27.4,0.03436684608459473
23,jungle_chess_2pcs_endgame_panther_elephant,1,DT,Arithmetic-based Features,,0.8342910654235187,0.2164961354361889,0.16570893457648128,58,31.8,16.140534019470216
24,PieChart3,1,DT,Original Features,,0.5840763299788754,0.03712511497530681,0.4159236700211246,37,165.0,0.021866321563720703
24,PieChart3,1,DT,Arithmetic-based Features,,0.5892631468140566,0.02682548524917898,0.41073685318594344,37,110.6,50.83021249771118
