Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,NB,Original Features,,0.4857613400365171,0.0690271747325086,0.06775110972997428,3,0,0.003191518783569336
0,disclosure_x_noise,2,NB,Arithmetic-based Features,,0.4616687184047297,0.07173051133991806,0.056555084882480455,3,0,0.004188346862792969
1,wdbc,1,NB,Original Features,,0.9333382040227945,0.017618384910206612,0.0029354254691107418,30,0,0.0015958309173583984
1,wdbc,1,NB,Arithmetic-based Features,,0.9371106267233028,0.014673904814114772,0.0026873703670989846,30,0,11.652332544326782
2,banknote-authentication,1,NB,Original Features,,0.8349729313329999,0.0384919404930308,0.004500452915682018,4,0,0.001995086669921875
2,banknote-authentication,1,NB,Arithmetic-based Features,,0.8979372792141348,0.026239504930912726,0.01463474266085607,4,0,0.00519866943359375
3,thyroid-allbp,1,NB,Original Features,,0.2470915793919973,0.03529735668254198,0.0025319993551847497,26,0,0.0023934364318847655
3,thyroid-allbp,1,NB,Arithmetic-based Features,,0.3065676418359274,0.023763921739905727,0.007032044543572036,26,0,0.027927589416503907
4,yeast,1,NB,Original Features,,0.27455447251352294,0.028496061695859214,0.028231228164997457,8,0,0.00299220085144043
4,yeast,1,NB,Arithmetic-based Features,,0.42230145191429014,0.06282695549471971,0.04183430600546395,8,0,0.013769149780273438
5,jungle_chess_2pcs_endgame_lion_elephant,1,NB,Original Features,,0.9087286724356727,0.0952234507807652,0.022081879274151284,58,0,0.011159086227416992
5,jungle_chess_2pcs_endgame_lion_elephant,1,NB,Arithmetic-based Features,,0.8572037119859814,0.08367110209907508,0.045466612705759024,58,0,14.666580438613892
6,jungle_chess_2pcs_endgame_elephant_elephant,1,NB,Original Features,,0.5776379171135632,0.08204960693094006,0.040942650071505216,57,0,0.005581712722778321
6,jungle_chess_2pcs_endgame_elephant_elephant,1,NB,Arithmetic-based Features,,0.6807726590487599,0.1899653170228156,0.14086913933430478,57,0,7.227492475509644
7,PizzaCutter1,1,NB,Original Features,,0.6401725506660487,0.11147262575299131,-0.0018793269267360913,37,0,0.002993154525756836
7,PizzaCutter1,1,NB,Arithmetic-based Features,,0.4223556152345774,0.040559844276518674,0.003996899242643792,37,0,34.50802617073059
8,balance-scale,2,NB,Original Features,,0.7352833541099912,0.2142163600964563,0.2005566707312354,4,0,0.003588294982910156
8,balance-scale,2,NB,Arithmetic-based Features,,0.80605369437919,0.12436320714315638,0.1230571553486699,4,0,0.0077803611755371095
9,analcatdata_halloffame,2,NB,Original Features,,0.7291677696304009,0.027561652140882787,0.005906377583801747,23,0,0.003988504409790039
9,analcatdata_halloffame,2,NB,Arithmetic-based Features,,0.737725356579198,0.03283325673648702,0.004462519680641264,23,0,1.4835448741912842
10,ada_prior,1,NB,Original Features,,0.6449622878320533,0.010214988184417028,-0.0002745610847942892,70,0,0.02374110221862793
10,ada_prior,1,NB,Arithmetic-based Features,,0.6434859748566809,0.00999083653582432,0.0004883628221038494,70,0,0.38892836570739747
11,kc1,1,NB,Original Features,,0.6476089804838191,0.07174967529601248,-0.0005023956561792664,21,0,0.006782817840576172
11,kc1,1,NB,Arithmetic-based Features,,0.6333449184223919,0.05455346393688294,0.015226984242453945,21,0,11.585377025604249
12,rmftsa_ladata,2,NB,Original Features,,0.8154540537331799,0.11429736917893099,0.02741151630936811,10,0,0.004588413238525391
12,rmftsa_ladata,2,NB,Arithmetic-based Features,,0.8087863756613757,0.11409916827973925,0.04458049134742115,10,0,0.043085241317749025
13,autoUniv-au6-1000,1,NB,Original Features,,0.1315323862450664,0.024062708007594476,0.10262310101773522,47,0,0.009174203872680664
13,autoUniv-au6-1000,1,NB,Arithmetic-based Features,,0.11249564880227554,0.018802322928893757,0.20574585369400905,47,0,48.93411431312561
14,volcanoes-e5,1,NB,Original Features,,0.23000179139337526,0.038818846746849385,0.033522241700348926,3,0,0.006184720993041992
14,volcanoes-e5,1,NB,Arithmetic-based Features,,0.06194762556218245,0.036778109735191314,0.031774445991278634,3,0,0.018152332305908202
15,kc2,1,NB,Original Features,,0.6683474589092243,0.1748048345265778,0.036465750540870756,21,0,0.008975744247436523
15,kc2,1,NB,Arithmetic-based Features,,0.6531332685720767,0.15987016204310547,-0.0010666442811996246,21,0,2.5286527633666993
16,Australian,4,NB,Original Features,,0.8518123922785621,0.026871216858948773,0.007952507270545639,14,0,0.010572147369384766
16,Australian,4,NB,Arithmetic-based Features,,0.7900046193926785,0.026402420208931347,0.019063129720178984,14,0,0.06514716148376465
17,fri_c3_500_5,2,NB,Original Features,,0.624806938264712,0.03839887152282475,0.018858384064924905,5,0,0.007177209854125977
17,fri_c3_500_5,2,NB,Arithmetic-based Features,,0.6441702650765737,0.03734780593937866,0.022241597287199544,5,0,0.02451190948486328
18,space_ga,2,NB,Original Features,,0.516225815621677,0.05259726648561725,0.06660602035951535,6,0,0.00997304916381836
18,space_ga,2,NB,Arithmetic-based Features,,0.5193110920964684,0.04891049863389395,0.06120693801729671,6,0,0.09205527305603027
19,volcanoes-e2,1,NB,Original Features,,0.226996797218134,0.007866827630233834,0.03259571872204384,3,0,0.008977127075195313
19,volcanoes-e2,1,NB,Arithmetic-based Features,,0.16706960625243358,0.03120102268300779,0.03841649066410055,3,0,0.024036741256713866
