Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,RF,Original Features,,0.4692679068138926,0.06866315454564584,0.5307320931861075,3,0,0.08953313827514649
0,disclosure_x_noise,2,RF,Arithmetic-based Features,,0.486949635441883,0.027298133105997123,0.513050364558117,3,0,0.19106574058532716
1,wdbc,1,RF,Original Features,,0.9622266728001438,0.023107549227266586,0.037773327199856155,30,0,0.12123112678527832
1,wdbc,1,RF,Arithmetic-based Features,,0.9717608954357214,0.017417990254074256,0.028239104564278583,30,0,10.592599201202393
2,banknote-authentication,1,RF,Original Features,,0.9941018708254846,0.0020148764991548508,0.005898129174515376,4,0,0.13019366264343263
2,banknote-authentication,1,RF,Arithmetic-based Features,,1.0,0.0,0.0,4,0,0.2802833080291748
3,thyroid-allbp,1,RF,Original Features,,0.4912081660851051,0.02457786215034677,0.50837704507924,26,0,0.35903139114379884
3,thyroid-allbp,1,RF,Arithmetic-based Features,,0.4547523659192714,0.02722289312844383,0.5448806237733794,26,0,1.672121000289917
4,yeast,1,RF,Original Features,,0.5298763641512366,0.03227608439469535,0.4701236358487634,8,0,0.21169962882995605
4,yeast,1,RF,Arithmetic-based Features,,0.482019343900829,0.05040379606721183,0.517980656099171,8,0,0.8840020179748536
5,jungle_chess_2pcs_endgame_lion_elephant,1,RF,Original Features,,0.9032210635286322,0.09978261479884458,0.09677893647136782,58,0,0.28580508232116697
5,jungle_chess_2pcs_endgame_lion_elephant,1,RF,Arithmetic-based Features,,0.9027022417129562,0.09090788110871405,0.09729775828704379,58,0,13.932049083709718
6,jungle_chess_2pcs_endgame_elephant_elephant,1,RF,Original Features,,1.0,0.0,0.0,57,0,0.16812486648559571
6,jungle_chess_2pcs_endgame_elephant_elephant,1,RF,Arithmetic-based Features,,0.9904450721724833,0.014484203231499636,0.009554927827516657,57,0,6.616389989852905
7,PizzaCutter1,1,RF,Original Features,,0.6063673412340485,0.09337412735567795,0.39363265876595155,37,0,0.15621418952941896
7,PizzaCutter1,1,RF,Arithmetic-based Features,,0.6990897747386106,0.06697942219278881,0.30091022526138944,37,0,29.251313591003417
8,balance-scale,2,RF,Original Features,,0.6080512400283865,0.20452760931611194,0.3919487599716135,4,0,0.11558880805969238
8,balance-scale,2,RF,Arithmetic-based Features,,0.7734866486473667,0.16248645650974922,0.22651335135263329,4,0,0.1837620258331299
9,analcatdata_halloffame,2,RF,Original Features,,0.8478394971406719,0.024299327452152592,0.15216050285932814,23,0,0.18953590393066405
9,analcatdata_halloffame,2,RF,Arithmetic-based Features,,0.8412316692234107,0.026207855859904785,0.15876833077658925,23,0,2.352125406265259
10,ada_prior,1,RF,Original Features,,0.7732750184938506,0.017763572961537234,0.2267249815061494,70,0,0.6564704895019531
10,ada_prior,1,RF,Arithmetic-based Features,,0.7687127582827296,0.013322502360765359,0.23128724171727044,70,0,2.1398829936981203
11,kc1,1,RF,Original Features,,0.6064196583248199,0.05333603130492089,0.37243128646905677,21,0,0.3177556037902832
11,kc1,1,RF,Arithmetic-based Features,,0.6147498150588768,0.050129580974774185,0.3640444216050407,21,0,12.51195592880249
12,rmftsa_ladata,2,RF,Original Features,,0.8496148477481507,0.13249721416672175,0.15038515225184934,10,0,0.16766600608825682
12,rmftsa_ladata,2,RF,Arithmetic-based Features,,0.8512093879436016,0.11720264954801235,0.14879061205639843,10,0,0.42761712074279784
13,autoUniv-au6-1000,1,RF,Original Features,,0.13903193770034553,0.025698947674265407,0.8609680622996545,47,0,0.4443228721618652
13,autoUniv-au6-1000,1,RF,Arithmetic-based Features,,0.12180438232909448,0.0407242856171257,0.8781956176709055,47,0,47.97888674736023
14,volcanoes-e5,1,RF,Original Features,,0.22468339989069416,0.03533861094907639,0.7753166001093058,3,0,0.1925504207611084
14,volcanoes-e5,1,RF,Arithmetic-based Features,,0.23424374286285404,0.02994151329625912,0.7657562571371459,3,0,0.4008443832397461
15,kc2,1,RF,Original Features,,0.6705735772101588,0.1499865776790866,0.30660656607907333,21,0,0.17732129096984864
15,kc2,1,RF,Arithmetic-based Features,,0.6756393414654871,0.1640530849001066,0.301540801823745,21,0,2.4634334564208986
16,Australian,4,RF,Original Features,,0.8576404394839832,0.03197428219051809,0.14235956051601684,14,0,0.22506313323974608
