Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,LDA,Original Features,,0.5071131267473505,0.1003504354889939,0.0484363896031309,3,0,0.003191423416137695
0,disclosure_x_noise,2,LDA,Arithmetic-based Features,,0.5035174796593743,0.08214585927531762,0.051958670761531045,3,0,0.0055866241455078125
1,wdbc,1,LDA,Original Features,,0.9558590159912278,0.008917820486423351,0.00637803658538838,30,0,0.0033904075622558593
1,wdbc,1,LDA,Arithmetic-based Features,,0.7765350206937252,0.053830787401744816,0.22252472127502876,30,0,18.844700574874878
2,banknote-authentication,1,LDA,Original Features,,0.9765007288398782,0.005553889346113173,-3.886768609406843e-06,4,0,0.0025931358337402343
2,banknote-authentication,1,LDA,Arithmetic-based Features,,0.9816170773095397,0.005811509476843912,0.0018366317803472088,4,0,0.008576726913452149
3,thyroid-allbp,1,LDA,Original Features,,0.5232485104228379,0.019787005134653257,0.011334583982615665,26,0,0.007777500152587891
3,thyroid-allbp,1,LDA,Arithmetic-based Features,,0.5324653908481437,0.03201528772977129,0.019388700765875067,26,0,0.05231924057006836
4,yeast,1,LDA,Original Features,,0.5501568264299959,0.04728796987284812,-0.00610827237462952,8,0,0.009372091293334961
4,yeast,1,LDA,Arithmetic-based Features,,0.5138663666012961,0.044210753517771685,0.06088073348005829,8,0,0.03440680503845215
5,jungle_chess_2pcs_endgame_lion_elephant,1,LDA,Original Features,,0.8701114694870512,0.20005701329704217,0.10023169760797912,58,0,0.03839874267578125
5,jungle_chess_2pcs_endgame_lion_elephant,1,LDA,Arithmetic-based Features,,0.9573883396614822,0.04918806480668954,0.03374082626326458,58,0,49.16176490783691
6,jungle_chess_2pcs_endgame_elephant_elephant,1,LDA,Original Features,,0.8253187409873428,0.06216364115520902,0.12156874140316787,57,0,0.02187185287475586
6,jungle_chess_2pcs_endgame_elephant_elephant,1,LDA,Arithmetic-based Features,,0.915643597645257,0.052636131599912823,0.08144456790198773,57,0,29.415315771102904
7,PizzaCutter1,1,LDA,Original Features,,0.658466149014225,0.13667842739785527,0.05090450195347085,37,0,0.0031241893768310545
7,PizzaCutter1,1,LDA,Arithmetic-based Features,,0.5312544095724839,0.03154387332240821,0.4648219817170831,37,0,38.623818445205686
8,balance-scale,2,LDA,Original Features,,0.8625078624430452,0.11218764058933016,0.08583235744025086,4,0,0.0
8,balance-scale,2,LDA,Arithmetic-based Features,,0.8097051190134739,0.19323957616856244,0.15272304670449377,4,0,0.015620899200439454
9,analcatdata_halloffame,2,LDA,Original Features,,0.8297548137077191,0.06688410561473815,0.01594129365587793,23,0,0.0
9,analcatdata_halloffame,2,LDA,Arithmetic-based Features,,0.7970144990941905,0.06430248908879375,0.12086309143166418,23,0,8.965016603469849
10,ada_prior,1,LDA,Original Features,,0.7583825209528523,0.016396068740532,0.008314275578079067,70,0,0.0749812126159668
10,ada_prior,1,LDA,Arithmetic-based Features,,0.7682116129045611,0.01100288596903827,0.004551493198768242,70,0,2.3836899757385255
11,kc1,1,LDA,Original Features,,0.6299759070281753,0.05646574149898377,0.03838859899674962,21,0,0.01874370574951172
11,kc1,1,LDA,Arithmetic-based Features,,0.6119645105719019,0.05596637460703328,0.2369495392974612,21,0,36.36758251190186
12,rmftsa_ladata,2,LDA,Original Features,,0.8127883307340553,0.12416887495475333,0.05925367906301349,10,0,0.00625300407409668
12,rmftsa_ladata,2,LDA,Arithmetic-based Features,,0.8223958819790432,0.08584051393831306,0.12243852373582098,10,0,0.6744177341461182
13,autoUniv-au6-1000,1,LDA,Original Features,,0.13637740375909085,0.02038203561111406,0.12969453766780858,47,0,0.031241178512573242
13,autoUniv-au6-1000,1,LDA,Arithmetic-based Features,,0.11924946538302628,0.011237364339990128,0.8245815421032834,47,0,62.01508321762085
14,volcanoes-e5,1,LDA,Original Features,,0.21914749270498923,0.03121151915865825,0.019037269007997987,3,0,0.006249713897705078
14,volcanoes-e5,1,LDA,Arithmetic-based Features,,0.2120708760271635,0.02928989051767505,0.0705428334376883,3,0,0.02499532699584961
15,kc2,1,LDA,Original Features,,0.6893429032743341,0.15638623752209574,0.05723421098284742,21,0,0.003123760223388672
15,kc2,1,LDA,Arithmetic-based Features,,0.5426810615925922,0.06996063269486393,0.4329802718049648,21,0,9.41550087928772
16,Australian,4,LDA,Original Features,,0.8604890291654576,0.04569301274568869,0.004342167785910789,14,0,0.006248998641967774
16,Australian,4,LDA,Arithmetic-based Features,,0.8395437542766496,0.07187935603752205,0.0631325897457724,14,0,2.421601581573486
17,fri_c3_500_5,2,LDA,Original Features,,0.657960389755428,0.02100278746723108,0.020715021984805126,5,0,0.008464860916137695
