Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,QDA,Original Features,,0.4657414830891069,0.05919751866600074,0.08464508211363997,3,0,0.003124380111694336
0,disclosure_x_noise,2,QDA,Arithmetic-based Features,,0.4745426202959594,0.051202361824912446,-0.02986430611195212,3,0,0.0031233787536621093
1,wdbc,1,QDA,Original Features,,0.9549463434140755,0.012310153329330624,0.017187436034573622,30,0,0.012497615814208985
1,wdbc,1,QDA,Arithmetic-based Features,,0.5814078200272681,0.16323656515418405,0.4185921799727319,30,0,15.182011842727661
2,banknote-authentication,1,QDA,Original Features,,0.9867554676886983,0.006680061900610204,-0.0005493433138963333,4,0,0.0031250953674316407
2,banknote-authentication,1,QDA,Arithmetic-based Features,,0.9753913200957628,0.022743133878070334,0.004763255443695047,4,0,0.01894354820251465
3,thyroid-allbp,1,QDA,Original Features,,0.10084467795352421,0.05459207051496793,0.011424570818305183,26,0,0.004321527481079101
3,thyroid-allbp,1,QDA,Arithmetic-based Features,,0.20932753693946604,0.02233435030275147,0.04968430011681463,26,0,0.11247272491455078
4,yeast,1,QDA,Original Features,,0.06988907923086113,0.07014734903162831,0.06734305442236085,8,0,0.0
4,yeast,1,QDA,Arithmetic-based Features,,0.211090102056481,0.03714723353899109,0.06354006562768383,8,0,0.08123059272766113
5,jungle_chess_2pcs_endgame_lion_elephant,1,QDA,Original Features,,0.8528699886534504,0.09688785268530199,0.086804249455125,58,0,0.031242847442626953
5,jungle_chess_2pcs_endgame_lion_elephant,1,QDA,Arithmetic-based Features,,0.8708259404502176,0.09120049351820275,0.11413169432073877,58,0,6764.735391235352
6,jungle_chess_2pcs_endgame_elephant_elephant,1,QDA,Original Features,,0.7052433691601988,0.08962314282020092,0.052951972661666624,57,0,0.01874651908874512
6,jungle_chess_2pcs_endgame_elephant_elephant,1,QDA,Arithmetic-based Features,,0.7275889608593433,0.15538196986123226,0.14466157431328008,57,0,6730.264594507217
7,PizzaCutter1,1,QDA,Original Features,,0.5651436778785298,0.08604019375922616,0.2435288179605296,37,0,0.0031238555908203124
7,PizzaCutter1,1,QDA,Arithmetic-based Features,,0.5225833414029184,0.1110661929473845,0.4774166585970816,37,0,6745.699102449417
8,balance-scale,2,QDA,Original Features,,0.8268461387273796,0.1453532357558859,0.13199140788309338,4,0,0.0
8,balance-scale,2,QDA,Arithmetic-based Features,,0.7448957260343626,0.17425507144011948,0.08224565606185352,4,0,0.009370660781860352
9,analcatdata_halloffame,2,QDA,Original Features,,0.08532423208191126,0.0,0.0,23,0,0.0062488079071044925
9,analcatdata_halloffame,2,QDA,Arithmetic-based Features,,0.4755381604696673,0.0,0.10652427198225617,23,0,8.027337789535522
10,ada_prior,1,QDA,Original Features,,0.3712403600636242,0.07051735290946572,0.008105512206133092,70,0,0.07712736129760742
10,ada_prior,1,QDA,Arithmetic-based Features,,0.38330031028235034,0.028214432296108913,0.002738370111855737,70,0,2.648154878616333
11,kc1,1,QDA,Original Features,,0.6578288690925144,0.09015875023335124,0.018615504107636238,21,0,0.015763616561889647
11,kc1,1,QDA,Arithmetic-based Features,,0.45783951261036604,0.0009257522835553295,0.28515962908648906,21,0,6733.5382256031035
12,rmftsa_ladata,2,QDA,Original Features,,0.8537095263684714,0.08357827595278096,0.056502935207349836,10,0,0.0031242847442626955
12,rmftsa_ladata,2,QDA,Arithmetic-based Features,,0.781554850258422,0.10597789635896591,0.07116886996919258,10,0,1.6111273765563965
13,autoUniv-au6-1000,1,QDA,Original Features,,0.1104731363580492,0.022158300424821024,0.7568103910610277,47,0,0.04373931884765625
13,autoUniv-au6-1000,1,QDA,Arithmetic-based Features,,0.10332964525984752,0.012386468252933153,0.8966703547401524,47,0,6732.264595079422
14,volcanoes-e5,1,QDA,Original Features,,0.21529818059547265,0.01677869701641519,0.0653995190847059,3,0,0.006249475479125977
14,volcanoes-e5,1,QDA,Arithmetic-based Features,,0.04574454616079456,0.03457726986606105,0.1344469369965475,3,0,0.021868038177490234
15,kc2,1,QDA,Original Features,,0.6489696030311275,0.14184959271591338,0.09573235209591868,21,0,0.0031242847442626955
15,kc2,1,QDA,Arithmetic-based Features,,0.5571023446182624,0.08671756862310405,0.4200777986709697,21,0,7.3274835586547855
16,Australian,4,QDA,Original Features,,0.8593279919968053,0.02827018685798929,0.027089839286868922,14,0,0.015623998641967774
16,Australian,4,QDA,Arithmetic-based Features,,0.7690383658706138,0.07025077621315966,0.11931818475546885,14,0,3.0274471759796144
17,fri_c3_500_5,2,QDA,Original Features,,0.6992878647043891,0.03738558954323325,0.0171127924972877,5,0,0.012497568130493164
17,fri_c3_500_5,2,QDA,Arithmetic-based Features,,0.683882512466336,0.10140295663695979,0.0321812988433251,5,0,0.14059391021728515
18,space_ga,2,QDA,Original Features,,0.8260078264272016,0.03712982973629549,0.0251832688105319,6,0,0.009345340728759765
18,space_ga,2,QDA,Arithmetic-based Features,,0.6808192655313647,0.10415505675371932,0.04409477610821466,6,0,0.2335346221923828
19,volcanoes-e2,1,QDA,Original Features,,0.22701936093637326,0.010434810499792016,0.04092969052215317,3,0,0.006485462188720703
19,volcanoes-e2,1,QDA,Arithmetic-based Features,,0.06639203123783212,0.05811915312941673,0.12752980659784036,3,0,0.024994468688964842
20,fri_c1_1000_25,2,QDA,Original Features,,0.5878131863560918,0.047809349066062864,0.19962182563881603,25,0,0.0926429271697998
20,fri_c1_1000_25,2,QDA,Arithmetic-based Features,,0.3956109873091102,0.07241426218297506,0.6043890126908897,25,0,6733.0993417263035
21,thyroid-allhypo,1,QDA,Original Features,,0.10084467795352421,0.05459207051496793,0.011424570818305183,26,0,0.08548755645751953
21,thyroid-allhypo,1,QDA,Arithmetic-based Features,,0.20932753693946604,0.02233435030275147,0.04968430011681463,26,0,0.2465825080871582
22,steel-plates-fault,3,QDA,Original Features,,0.6030688529953723,0.08121847658316589,0.17514919020982755,27,0,0.07185859680175781
22,steel-plates-fault,3,QDA,Arithmetic-based Features,,0.14400049889340183,0.06243590560228402,0.8558786772454616,27,0,6755.421277236938
23,jungle_chess_2pcs_endgame_panther_elephant,1,QDA,Original Features,,0.6956808204086233,0.23691141927020293,0.027466874462009017,58,0,0.16303415298461915
23,jungle_chess_2pcs_endgame_panther_elephant,1,QDA,Arithmetic-based Features,,0.44633497329128036,0.17440800945727886,0.12773776439076645,58,0,6769.619172477722
24,PieChart3,1,QDA,Original Features,,0.4397218527993879,0.04759736006865673,0.04791602074886642,37,0,0.02499547004699707
24,PieChart3,1,QDA,Arithmetic-based Features,,0.47976192767177483,0.03253074236667863,0.5202380723282252,37,0,6770.976927614212
25,volcanoes-e3,1,QDA,Original Features,,0.2413632897793463,0.04668691766062196,0.08278074138652675,3,0,0.004787349700927734
25,volcanoes-e3,1,QDA,Arithmetic-based Features,,0.11233833927424605,0.05613775108990933,0.07271015764934463,3,0,0.020544910430908205
26,wilt,2,QDA,Original Features,,0.9107718614586338,0.040533968090905606,-0.0011820354247985554,5,0,0.0031916141510009766
26,wilt,2,QDA,Arithmetic-based Features,,0.8339743511121085,0.06077645122746056,0.01031143250235833,5,0,0.14062328338623048
27,fri_c3_1000_10,2,QDA,Original Features,,0.7177951505962298,0.020035624477375686,0.02080411249723413,10,0,0.0029916763305664062
27,fri_c3_1000_10,2,QDA,Arithmetic-based Features,,0.4694089024798892,0.09987921233207676,0.07056975189904602,10,0,2.6315606117248533
28,jungle_chess_2pcs_endgame_rat_rat,1,QDA,Original Features,,0.6285242981782116,0.06251104643748344,0.1018754902351443,57,0,0.09649052619934081
28,jungle_chess_2pcs_endgame_rat_rat,1,QDA,Arithmetic-based Features,,0.7648105286410262,0.1495011590896861,0.13838208549698783,57,0,52.501283693313596
29,wine-quality-red,1,QDA,Original Features,,0.2751648541885913,0.048461650785907875,0.3440572779095073,11,0,0.0062485218048095705
29,wine-quality-red,1,QDA,Arithmetic-based Features,,0.18243739464259362,0.019881598038003555,0.09363035296400357,11,0,6.417504787445068
30,fri_c1_500_50,2,QDA,Original Features,,0.5016559626750049,0.020263364982718864,0.475275658988656,50,0,0.08656859397888184
30,fri_c1_500_50,2,QDA,Arithmetic-based Features,,0.47759159702093845,0.018153643427330737,0.5224084029790615,50,0,6754.967733669281
31,fri_c4_500_10,2,QDA,Original Features,,0.66690212434999,0.04873563953273046,0.05956614383811909,10,0,0.0
31,fri_c4_500_10,2,QDA,Arithmetic-based Features,,0.4708620289265711,0.07563599071759458,0.1444779998656282,10,0,2.249882698059082
32,sick,1,QDA,Original Features,,0.22983089136763996,0.04173713817583975,0.00202336695743377,76,0,0.13162436485290527
32,sick,1,QDA,Arithmetic-based Features,,0.41012841210565176,0.04328558586644324,0.0108491709317583,76,0,2.3741089344024657
33,boston,2,QDA,Original Features,,0.7003257130787093,0.19513439187878506,0.09388552883030832,13,0,0.006247901916503906
33,boston,2,QDA,Arithmetic-based Features,,0.5609893492400627,0.21478725545710628,0.32732329731838017,13,0,3.8541641235351562
34,fri_c3_500_10,2,QDA,Original Features,,0.6628593530406888,0.033574593275664255,0.06714326586132491,10,0,0.0031237125396728514
34,fri_c3_500_10,2,QDA,Arithmetic-based Features,,0.43407587352577615,0.013687146057027172,0.1406634974512414,10,0,2.8359022617340086
35,no2,2,QDA,Original Features,,0.5760157766928693,0.029316141851733302,0.06413740057895734,7,0,0.0025928497314453127
35,no2,2,QDA,Arithmetic-based Features,,0.49919615263293815,0.039138148389074846,0.1527361436659661,7,0,0.16236562728881837
36,arsenic-female-bladder,2,QDA,Original Features,,0.4564709473214984,0.10452455984405226,0.1844896046904585,4,0,0.0029920101165771484
36,arsenic-female-bladder,2,QDA,Arithmetic-based Features,,0.500593737219636,0.10174667259678626,0.17585677688254453,4,0,0.07061066627502441
37,thyroid-allhyper,1,QDA,Original Features,,0.10084467795352421,0.05459207051496793,0.011424570818305183,26,0,0.20907773971557617
37,thyroid-allhyper,1,QDA,Arithmetic-based Features,,0.20932753693946604,0.02233435030275147,0.04968430011681463,26,0,0.19108934402465821
38,fri_c1_500_25,2,QDA,Original Features,,0.5921719127414414,0.04542257581921715,0.27793326275880303,25,0,0.010372114181518555
38,fri_c1_500_25,2,QDA,Arithmetic-based Features,,0.45110559174427667,0.07408522386707612,0.5488944082557233,25,0,6718.24731836319
39,fri_c0_500_25,2,QDA,Original Features,,0.7658114862775295,0.06383715992153778,0.1711677417548747,25,0,0.011170053482055664
